title,abstract,year
crossing the conversational chasm: a primer on natural language processing for multilingual task-oriented dialogue systems,"in task-oriented dialogue (tod), a user holds a conversation with an artificial agent with the aim of completing a concrete task. although this technology represents one of the central objectives of ai and has been the focus of ever more intense research and development efforts, it is currently limited to a few narrow domains (e.g., food ordering, ticket booking) and a handful of languages (e.g., english, chinese). this work provides an extensive overview of existing methods and resources in multilingual tod as an entry point to this exciting and emerging field. we find that the most critical factor preventing the creation of truly multilingual tod systems is the lack of datasets in most languages for both training and evaluation. in fact, acquiring annotations or human feedback for each component of modular systems or for data-hungry end-to-end systems is expensive and tedious. hence, state-of-the-art approaches to multilingual tod mostly rely on (zero- or few-shot) cross-lingual transfer from resource-rich languages (almost exclusively english), either by means of (i) machine translation or (ii) multilingual representations. these approaches are currently viable only for typologically similar languages and languages with parallel / monolingual corpora available. on the other hand, their effectiveness beyond these boundaries is doubtful or hard to assess due to the lack of linguistically diverse benchmarks (especially for natural language generation and end-to-end evaluation). to overcome this limitation, we draw parallels between components of the tod pipeline and other nlp tasks, which can inspire solutions for learning in low-resource scenarios. finally, we list additional challenges that multilinguality poses for related areas (such as speech, fluency in generated text, and human-centred evaluation), and indicate future directions that hold promise to further expand language coverage and dialogue capabilities of current tod systems.",2022
hebo: pushing the limits of sample-efficient hyper-parameter optimisation,"in this work we rigorously analyse assumptions inherent to black-box optimisation hyper-parameter tuning tasks. our results on the bayesmark benchmark indicate that heteroscedasticity and non-stationarity pose significant challenges for black-box optimisers. based on these findings, we propose a heteroscedastic and evolutionary bayesian optimisation solver (hebo). hebo performs non-linear input and output warping, admits exact marginal log-likelihood optimisation and is robust to the values of learned parameters. we demonstrate hebo’s empirical efficacy on the neurips 2020 black-box optimisation challenge, where hebo placed first. upon further analysis, we observe that hebo significantly outperforms existing black-box optimisers on 108 machine learning hyperparameter tuning tasks comprising the bayesmark benchmark. our findings indicate that the majority of hyper-parameter tuning tasks exhibit heteroscedasticity and non-stationarity, multiobjective acquisition ensembles with pareto front solutions improve queried configurations, and robust acquisition maximisers afford empirical advantages relative to their non-robust counterparts. we hope these findings may serve as guiding principles for practitioners of bayesian optimisation.",2022
learning bayesian networks under sparsity constraints: a parameterized complexity analysis,"we study the problem of learning the structure of an optimal bayesian network when additional constraints are posed on the network or on its moralized graph. more precisely, we consider the constraint that the network or its moralized graph are close, in terms of vertex or edge deletions, to a sparse graph class π. for example, we show that learning an optimal network whose moralized graph has vertex deletion distance at most k from a graph with maximum degree 1 can be computed in polynomial time when k is constant. this extends previous work that gave an algorithm with such a running time for the vertex deletion distance to edgeless graphs. we then show that further extensions or improvements are presumably impossible. for example, we show that learning optimal networks where the network or its moralized graph have maximum degree 2 or connected components of size at most c, c ≥ 3, is np-hard. finally, we show that learning an optimal network with at most k edges in the moralized graph presumably has no f(k) · |i|o(1)-time algorithm and that, in contrast, an optimal network with at most k arcs can be computed in 2o(k) · |i|o(1) time where |i| is the total input size.",2022
collie: continual learning of language grounding from language-image embeddings,"this paper presents collie: a simple, yet effective model for continual learning of how language is grounded in vision. given a pre-trained multimodal embedding model, where language and images are projected in the same semantic space (in this case clip by openai), collie learns a transformation function that adjusts the language embeddings when needed to accommodate new language use. this is done by predicting the difference vector that needs to be applied, as well as a scaling factor for this vector, so that the adjustment is only applied when needed. unlike traditional few-shot learning, the model does not just learn new classes and labels, but can also generalize to similar language use and leverage semantic compositionality. we verify the model’s performance on two different tasks of identifying the targets of referring expressions, where it has to learn new language use. the results show that the model can efficiently learn and generalize from only a few examples, with little interference with the model’s original zero-shot performance.",2022
autotelic agents with intrinsically motivated goal-conditioned reinforcement learning: a short survey,"building autonomous machines that can explore open-ended environments, discover possible interactions and build repertoires of skills is a general objective of artificial intelligence. developmental approaches argue that this can only be achieved by autotelic agents: intrinsically motivated learning agents that can learn to represent, generate, select and solve their own problems. in recent years, the convergence of developmental approaches with deep reinforcement learning (rl) methods has been leading to the emergence of a new field: developmental reinforcement learning. developmental rl is concerned with the use of deep rl algorithms to tackle a developmental problem— the intrinsically motivated acquisition of open-ended repertoires of skills. the self-generation of goals requires the learning of compact goal encodings as well as their associated goal-achievement functions. this raises new challenges compared to standard rl algorithms originally designed to tackle pre-defined sets of goals using external reward signals. the present paper introduces developmental rl and proposes a computational framework based on goal-conditioned rl to tackle the intrinsically motivated skills acquisition problem. it proceeds to present a typology of the various goal representations used in the literature, before reviewing existing methods to learn to represent and prioritize goals in autonomous systems. we finally close the paper by discussing some open challenges in the quest of intrinsically motivated skills acquisition.",2022
evolutionary dynamics and phi-regret minimization in games,"regret has been established as a foundational concept in online learning, and likewise has important applications in the analysis of learning dynamics in games. regret quantifies the difference between a learner’s performance against a baseline in hindsight. it is well known that regret-minimizing algorithms converge to certain classes of equilibria in games; however, traditional forms of regret used in game theory predominantly consider baselines that permit deviations to deterministic actions or strategies. in this paper, we revisit our understanding of regret from the perspective of deviations over partitions of the full mixed strategy space (i.e., probability distributions over pure strategies), under the lens of the previously-established φ-regret framework, which provides a continuum of stronger regret measures. importantly, φ-regret enables learning agents to consider deviations from and to mixed strategies, generalizing several existing notions of regret such as external, internal, and swap regret, and thus broadening the insights gained from regret-based analysis of learning algorithms. we prove here that the well-studied evolutionary learning algorithm of replicator dynamics (rd) seamlessly minimizes the strongest possible form of φ-regret in generic 2 × 2 games, without any modification of the underlying algorithm itself. we subsequently conduct experiments validating our theoretical results in a suite of 144 2 × 2 games wherein rd exhibits a diverse set of behaviors. we conclude by providing empirical evidence of φ-regret minimization by rd in some larger games, hinting at further opportunity for φ-regret based study of such algorithms from both a theoretical and empirical perspective.",2022
a comprehensive framework for learning declarative action models,"a declarative action model is a compact representation of the state transitions of dynamic systems that generalizes over world objects. the specification of declarative action models is often a complex hand-crafted task. in this paper we formulate declarative action models via state constraints, and present the learning of such models as a combinatorial search. the comprehensive framework presented here allows us to connect the learning of declarative action models to well-known problem solving tasks. in addition, our framework allows us to characterize the existing work in the literature according to four dimensions: (1) the target action models, in terms of the state transitions they define; (2) the available learning examples; (3) the functions used to guide the learning process, and to evaluate the quality of the learned action models; (4) the learning algorithm. last, the paper lists relevant successful applications of the learning of declarative actions models and discusses some open challenges with the aim of encouraging future research work.",2022
supervised visual attention for simultaneous multimodal machine translation,"there has been a surge in research in multimodal machine translation (mmt), where additional modalities such as images are used to improve translation quality of textual systems. a particular use for such multimodal systems is the task of simultaneous machine translation, where visual context has been shown to complement the partial information provided by the source sentence, especially in the early phases of translation. in this paper, we propose the first transformer-based simultaneous mmt architecture, which has not been previously explored in simultaneous translation. additionally, we extend this model with an auxiliary supervision signal that guides the visual attention mechanism using labelled phrase-region alignments. we perform comprehensive experiments on three language directions and conduct thorough quantitative and qualitative analyses using both automatic metrics and manual inspection. our results show that (i) supervised visual attention consistently improves the translation quality of the simultaneous mmt models, and (ii) fine-tuning the mmt with supervision loss enabled leads to better performance than training the mmt from scratch. compared to the state-of-the-art, our proposed model achieves improvements of up to 2.3 bleu and 3.5 meteor points.",2022
two-phase multi-document event summarization on core event graphs,"succinct event description based on multiple documents is critical to news systems as well as search engines. different from existing summarization or event tasks, multi-document event summarization (mes) aims at the query-level event sequence generation, which has extra constraints on event expression and conciseness. identifying and summarizing the key event from a set of related articles is a challenging task that has not been sufficiently studied, mainly because online articles exhibit characteristics of redundancy and sparsity, and a perfect event summarization needs high level information fusion among diverse sentences and articles. to address these challenges, we propose a two-phase framework for the mes task, that first performs event semantic graph construction and dominant event detection via graph-sequence matching, then summarizes the extracted key event by an event-aware pointer generator. for experiments in the new task, we construct two large-scale real-world datasets for training and assessment. extensive evaluations show that the proposed framework significantly outperforms the related baseline methods, with the most dominant event of the articles effectively identified and correctly summarized.",2022
impact of imputation strategies on fairness in machine learning,"research on fairness and bias mitigation in machine learning often uses a set of reference datasets for the design and evaluation of novel approaches or definitions. while these datasets are well structured and useful for the comparison of various approaches, they do not reflect that datasets commonly used in real-world applications can have missing values. when such missing values are encountered, the use of imputation strategies is commonplace. however, as imputation strategies potentially alter the distribution of data they can also affect the performance, and potentially the fairness, of the resulting predictions, a topic not yet well understood in the fairness literature. in this article, we investigate the impact of different imputation strategies on classical performance and fairness in classification settings. we find that the selected imputation strategy, along with other factors including the type of classification algorithm, can significantly affect performance and fairness outcomes. the results of our experiments indicate that the choice of imputation strategy is an important factor when considering fairness in machine learning. we also provide some insights and guidance for researchers to help navigate imputation approaches for fairness.",2022
admissibility in probabilistic argumentation,"abstract argumentation is a prominent reasoning framework. it comes with a variety of semantics and has lately been enhanced by probabilities to enable a quantitative treatment of argumentation. while admissibility is a fundamental notion for classical reasoning in abstract argumentation frameworks, it has barely been reflected so far in the probabilistic setting. in this paper, we address the quantitative treatment of abstract argumentation based on probabilistic notions of admissibility. our approach follows the natural idea of defining probabilistic semantics for abstract argumentation by systematically imposing constraints on the joint probability distribution on the sets of arguments, rather than on probabilities of single arguments. as a result, there might be either a uniquely defined distribution satisfying the constraints, but also none, many, or even an infinite number of satisfying distributions are possible. we provide probabilistic semantics corresponding to the classical complete and stable semantics and show how labeling schemes provide a bridge from distributions back to argument labelings. in relation to existing work on probabilistic argumentation, we present a taxonomy of semantic notions. enabled by the constraint-based approach, standard reasoning problems for probabilistic semantics can be tackled by smt solvers, as we demonstrate by a proof-of-concept implementation.",2022
path counting for grid-based navigation,"counting the number of shortest paths on a grid is a simple procedure with close ties to pascal’s triangle. we show how path counting can be used to select relatively direct grid paths for ai-related applications involving navigation through spatial environments. typical implementations of dijkstra’s algorithm and a* prioritize grid moves in an arbitrary manner, producing paths which stray conspicuously far from line-of-sight trajectories. we find that by counting the number of paths which traverse each vertex, then selecting the vertices with the highest counts, one obtains a path that is reasonably direct in practice and can be improved by refining the grid resolution. central dijkstra and central a* are introduced as the basic methods for computing these central grid paths. theoretical analysis reveals that the proposed grid-based navigation approach is related to an existing grid-based visibility approach, and establishes that central grid paths converge on clear sightlines as the grid spacing approaches zero. a more general property, that central paths converge on direct paths, is formulated as a conjecture.",2022
fond planning with explicit fairness assumptions,"we consider the problem of reaching a propositional goal condition in fully-observable nondeterministic (fond) planning under a general class of fairness assumptions that are given explicitly. the fairness assumptions are of the form a/b and say that state trajectories that contain infinite occurrences of an action a from a in a state s and finite occurrence of actions from b, must also contain infinite occurrences of action a in s followed by each one of its possible outcomes. the infinite trajectories that violate this condition are deemed as unfair, and the solutions are policies for which all the fair trajectories reach a goal state. we show that strong and strong-cyclic fond planning, as well as qnp planning, a planning model introduced recently for generalized planning, are all special cases of fond planning with fairness assumptions of this form which can also be combined. fond+ planning, as this form of planning is called, combines the syntax of fond planning with some of the versatility of ltl for expressing fairness constraints. a sound and complete fond+ planner is implemented by reducing fond+ planning to answer set programs, and its performance is evaluated in comparison with fond and qnp planners, and ltl synthesis tools. two other fond+ planners are introduced as well which are more scalable but are not complete.",2022
on the tractability of shap explanations,"shap explanations are a popular feature-attribution mechanism for explainable ai. they use game-theoretic notions to measure the influence of individual features on the prediction of a machine learning model. despite a lot of recent interest from both academia and industry, it is not known whether shap explanations of common machine learning models can be computed efficiently. in this paper, we establish the complexity of computing the shap explanation in three important settings. first, we consider fully-factorized data distributions, and show that the complexity of computing the shap explanation is the same as the complexity of computing the expected value of the model. this fully-factorized setting is often used to simplify the shap computation, yet our results show that the computation can be intractable for commonly used models such as logistic regression. going beyond fully-factorized distributions, we show that computing shap explanations is already intractable for a very simple setting: computing shap explanations of trivial classifiers over naive bayes distributions. finally, we show that even computing shap over the empirical distribution is #p-hard.",2022
inductive logic programming at 30: a new introduction,"inductive logic programming (ilp) is a form of machine learning. the goal of ilp is to induce a hypothesis (a set of logical rules) that generalises training examples. as ilp turns 30, we provide a new introduction to the field. we introduce the necessary logical notation and the main learning settings; describe the building blocks of an ilp system; compare several systems on several dimensions; describe four systems (aleph, tilde, aspal, and metagol); highlight key application areas; and, finally, summarise current limitations and directions for future research.",2022
cooperation and learning dynamics under wealth inequality and diversity in individual risk,"we examine how wealth inequality and diversity in the perception of risk of a collective disaster impact cooperation levels in the context of a public goods game with uncertain and non-linear returns. in this game, individuals face a collective-risk dilemma where they may contribute or not to a common pool to reduce their chances of future losses. we draw our conclusions based on social simulations with populations of independent reinforcement learners with diverse levels of risk and wealth. we find that both wealth inequality and diversity in risk assessment can hinder cooperation and augment collective losses. additionally, wealth inequality further exacerbates long term inequality, causing rich agents to become richer and poor agents to become poorer. on the other hand, diversity in risk only amplifies inequality when combined with bias in group assortment—i.e., high probability that agents from the same risk class play together. our results also suggest that taking wealth inequality into account can help to design effective policies aiming at leveraging cooperation in large group sizes, a configuration where collective action is harder to achieve. finally, we characterize the circumstances under which risk perception alignment is crucial and those under which reducing wealth inequality constitutes a deciding factor for collective welfare.",2022
planning with critical section macros: theory and practice,"macro-operators (macros) are a well-known technique for enhancing performance of planning engines by providing “short-cuts” in the state space. existing macro learning systems usually generate macros by considering most frequent action sequences in training plans. unfortunately, frequent action sequences might not capture meaningful activities as a whole, leading to a limited beneficial impact for the planning process. in this paper, inspired by resource locking in critical sections in parallel computing, we propose a technique that generates macros able to capture whole activities in which limited resources (e.g., a robotic hand, or a truck) are used. specifically, such a critical section macro starts by locking the resource (e.g., grabbing an object), continues by using the resource (e.g., manipulating the object) and finishes by releasing the resource (e.g., dropping the object). hence, such a macro bridges states in which the resource is locked and cannot be used. we also introduce versions of critical section macros dealing with multiple resources and phased locks. usefulness of macros is evaluated using a range of state-of-the-art planners, and a large number of benchmarks from the deterministic and learning tracks of recent editions of the international planning competition.",2022
fast adaptive non-monotone submodular maximization subject to a knapsack constraint,"constrained submodular maximization problems encompass a wide variety of applications, including personalized recommendation, team formation, and revenue maximization via viral marketing. the massive instances occurring in modern-day applications can render existing algorithms prohibitively slow. moreover, frequently those instances are also inherently stochastic. focusing on these challenges, we revisit the classic problem of maximizing a (possibly non-monotone) submodular function subject to a knapsack constraint. we present a simple randomized greedy algorithm that achieves a 5.83-approximation and runs in o(n log n) time, i.e., at least a factor n faster than other state-of-the-art algorithms. the versatility of our approach allows us to further transfer it to a stochastic version of the problem. there, we obtain a (9 + ε)-approximation to the best adaptive policy, which is the first constant approximation for non-monotone objectives. experimental evaluation of our algorithms showcases their improved performance on real and synthetic data.",2022
out of context: a new clue for context modeling of aspect-based sentiment analysis,"aspect-based sentiment analysis (absa) aims to predict the sentiment expressed in a review with respect to a given aspect. the core of absa is to model the interaction between the context and given aspect to extract aspect-related information. in prior work, attention mechanisms and dependency graph networks are commonly adopted to capture the relations between the context and given aspect. and the weighted sum of context hidden states is used as the final representation fed to the classifier. however, the information related to the given aspect may be already discarded and adverse information may be retained in the context modeling processes of existing models. such a problem cannot be solved by subsequent modules due to two reasons. first, their operations are conducted on the encoder-generated context hidden states, whose value cannot be changed after the encoder. second, existing encoders only consider the context while not the given aspect. to address this problem, we argue the given aspect should be considered as a new clue out of context in the context modeling process. as for solutions, we design three streams of aspect-aware context encoders: an aspect-aware lstm, an aspect-aware gcn, and three aspect-aware berts. they are dedicated to generating aspect-aware hidden states which are tailored for the absa task. in these aspect-aware context encoders, the semantics of the given aspect is used to regulate the information flow. consequently, the aspect-related information can be retained and aspect-irrelevant information can be excluded in the generated hidden states. we conduct extensive experiments on several benchmark datasets with empirical analysis, demonstrating the efficacies and advantages of our proposed aspect-aware context encoders.",2022
finding and recognizing popular coalition structures,"an important aspect of multi-agent systems concerns the formation of coalitions that are stable or optimal in some well-defined way. the notion of popularity has recently received a lot of attention in this context. a partition is popular if there is no other partition in which more agents are better off than worse off. in this paper, we study popularity, strong popularity, and mixed popularity (which is particularly attractive because existence is guaranteed by the minimax theorem) in a variety of coalition formation settings. extending previous work on marriage games, we show that mixed popular partitions in roommate games can be found efficiently via linear programming and a separation oracle. this approach is quite universal, leading to efficient algorithms for verifying whether a given partition is popular and for finding strongly popular partitions (resolving an open problem). by contrast, we prove that both problems become computationally intractable when moving from coalitions of size 2 to coalitions of size 3, even when preferences are strict and globally ranked. moreover, we show that finding popular, strongly popular, and mixed popular partitions in symmetric additively separable hedonic games and symmetric fractional hedonic games is np-hard. together, these results indicate strong boundaries to the tractability of popularity in both ordinal and cardinal models of hedonic games.",2022
automated reinforcement learning (autorl): a survey and open problems,"the combination of reinforcement learning (rl) with deep learning has led to a series of impressive feats, with many believing (deep) rl provides a path towards generally capable agents. however, the success of rl agents is often highly sensitive to design choices in the training process, which may require tedious and error-prone manual tuning. this makes it challenging to use rl for new problems and also limits its full potential. in many other areas of machine learning, automl has shown that it is possible to automate such design choices, and automl has also yielded promising initial results when applied to rl. however, automated reinforcement learning (autorl) involves not only standard applications of automl but also includes additional challenges unique to rl, that naturally produce a different set of methods. as such, autorl has been emerging as an important area of research in rl, providing promise in a variety of applications from rna design to playing games, such as go. given the diversity of methods and environments considered in rl, much of the research has been conducted in distinct subfields, ranging from meta-learning to evolution. in this survey, we seek to unify the field of autorl, provide a common taxonomy, discuss each area in detail and pose open problems of interest to researchers going forward.",2022
core challenges in embodied vision-language planning,"recent advances in the areas of multimodal machine learning and artificial intelligence (ai) have led to the development of challenging tasks at the intersection of computer vision, natural language processing, and embodied ai. whereas many approaches and previous survey pursuits have characterised one or two of these dimensions, there has not been a holistic analysis at the center of all three. moreover, even when combinations of these topics are considered, more focus is placed on describing, e.g., current architectural methods, as opposed to also illustrating high-level challenges and opportunities for the field. in this survey paper, we discuss embodied vision-language planning (evlp) tasks, a family of prominent embodied navigation and manipulation problems that jointly use computer vision and natural language. we propose a taxonomy to unify these tasks and provide an in-depth analysis and comparison of the new and current algorithmic approaches, metrics, simulated environments, as well as the datasets used for evlp tasks. finally, we present the core challenges that we believe new evlp works should seek to address, and we advocate for task construction that enables model generalizability and furthers real-world deployment.",2022
objective bayesian nets for integrating consistent datasets,"this paper addresses a data integration problem: given several mutually consistent datasets each of which measures a subset of the variables of interest, how can one construct a probabilistic model that fits the data and gives reasonable answers to questions which are under-determined by the data? here we show how to obtain a bayesian network model which represents the unique probability function that agrees with the probability distributions measured by the datasets and otherwise has maximum entropy. we provide a general algorithm, obn-cds, which offers substantial efficiency savings over the standard brute-force approach to determining the maximum entropy probability function. furthermore, we develop modifications to the general algorithm which enable further efficiency savings but which are only applicable in particular situations. we show that there are circumstances in which one can obtain the model (i) directly from the data; (ii) by solving algebraic problems; and (iii) by solving relatively simple independent optimisation problems.",2022
